1,binocular
208,binocular
343,binocular
790,binocular
985,binocular
1146,binocular
1562,binocular
1577,binocular
1754,binocular
2940,binocular
2,chair
44,chair
48,chair
165,chair
269,chair
503,chair
517,chair
569,chair
574,chair
589,chair
3,tick
345,tick
410,tick
637,tick
839,tick
887,tick
888,tick
1050,tick
1127,tick
1185,tick
4,minaret
54,minaret
72,minaret
195,minaret
224,minaret
244,minaret
316,minaret
485,minaret
487,minaret
642,minaret
5,Faces
13,Faces
33,Faces
38,Faces
39,Faces
59,Faces
66,Faces
75,Faces
82,Faces
90,Faces
6,accordion
31,accordion
89,accordion
273,accordion
747,accordion
861,accordion
934,accordion
1001,accordion
1002,accordion
1191,accordion
7,rooster
113,rooster
301,rooster
543,rooster
701,rooster
1023,rooster
1173,rooster
1243,rooster
1271,rooster
1349,rooster
8,Leopards
29,Leopards
79,Leopards
92,Leopards
130,Leopards
141,Leopards
143,Leopards
172,Leopards
191,Leopards
200,Leopards
9,watch
15,watch
34,watch
68,watch
84,watch
95,watch
220,watch
225,watch
331,watch
447,watch
10,dragonfly
94,dragonfly
214,dragonfly
376,dragonfly
418,dragonfly
438,dragonfly
510,dragonfly
1059,dragonfly
1090,dragonfly
1179,dragonfly
11,BACKGROUND_Google
23,BACKGROUND_Google
25,BACKGROUND_Google
118,BACKGROUND_Google
120,BACKGROUND_Google
144,BACKGROUND_Google
153,BACKGROUND_Google
180,BACKGROUND_Google
203,BACKGROUND_Google
216,BACKGROUND_Google
12,laptop
98,laptop
100,laptop
266,laptop
270,laptop
699,laptop
757,laptop
853,laptop
944,laptop
1116,laptop
14,brontosaurus
86,brontosaurus
622,brontosaurus
698,brontosaurus
737,brontosaurus
812,brontosaurus
917,brontosaurus
1166,brontosaurus
1294,brontosaurus
1324,brontosaurus
16,cougar_face
136,cougar_face
255,cougar_face
291,cougar_face
607,cougar_face
627,cougar_face
1134,cougar_face
1323,cougar_face
1375,cougar_face
1483,cougar_face
17,brain
41,brain
140,brain
221,brain
263,brain
333,brain
360,brain
453,brain
504,brain
542,brain
18,ketch
128,ketch
246,ketch
382,ketch
387,ketch
417,ketch
528,ketch
694,ketch
742,ketch
928,ketch
19,ceiling_fan
183,ceiling_fan
260,ceiling_fan
945,ceiling_fan
1280,ceiling_fan
1287,ceiling_fan
1663,ceiling_fan
1701,ceiling_fan
1805,ceiling_fan
1877,ceiling_fan
20,car_side
80,car_side
175,car_side
414,car_side
425,car_side
482,car_side
565,car_side
605,car_side
613,car_side
891,car_side
21,butterfly
104,butterfly
159,butterfly
173,butterfly
243,butterfly
498,butterfly
513,butterfly
739,butterfly
904,butterfly
974,butterfly
22,platypus
420,platypus
521,platypus
870,platypus
1096,platypus
1172,platypus
1307,platypus
1343,platypus
2523,platypus
2553,platypus
24,Motorbikes
36,Motorbikes
43,Motorbikes
45,Motorbikes
83,Motorbikes
87,Motorbikes
91,Motorbikes
105,Motorbikes
117,Motorbikes
125,Motorbikes
26,airplanes
46,airplanes
47,airplanes
61,airplanes
62,airplanes
63,airplanes
78,airplanes
101,airplanes
103,airplanes
123,airplanes
27,emu
70,emu
81,emu
210,emu
285,emu
551,emu
571,emu
657,emu
690,emu
932,emu
28,pizza
108,pizza
393,pizza
535,pizza
628,pizza
966,pizza
1889,pizza
2007,pizza
2403,pizza
2513,pizza
30,wrench
152,wrench
444,wrench
743,wrench
752,wrench
886,wrench
1121,wrench
1218,wrench
1311,wrench
1499,wrench
32,cup
50,cup
312,cup
366,cup
384,cup
429,cup
618,cup
791,cup
894,cup
1005,cup
35,dolphin
51,dolphin
126,dolphin
142,dolphin
468,dolphin
539,dolphin
604,dolphin
718,dolphin
735,dolphin
762,dolphin
37,sunflower
248,sunflower
411,sunflower
518,sunflower
697,sunflower
883,sunflower
922,sunflower
1052,sunflower
1080,sunflower
1095,sunflower
40,ibis
434,ibis
576,ibis
689,ibis
774,ibis
884,ibis
910,ibis
1012,ibis
1068,ibis
1371,ibis
42,menorah
151,menorah
290,menorah
339,menorah
793,menorah
871,menorah
897,menorah
1093,menorah
1164,menorah
1188,menorah
49,cellphone
258,cellphone
641,cellphone
679,cellphone
730,cellphone
753,cellphone
785,cellphone
1084,cellphone
1382,cellphone
1400,cellphone
52,umbrella
65,umbrella
74,umbrella
251,umbrella
368,umbrella
461,umbrella
728,umbrella
818,umbrella
844,umbrella
1100,umbrella
53,stop_sign
222,stop_sign
912,stop_sign
956,stop_sign
1039,stop_sign
1210,stop_sign
1229,stop_sign
1365,stop_sign
1421,stop_sign
1494,stop_sign
55,schooner
93,schooner
211,schooner
313,schooner
450,schooner
573,schooner
665,schooner
1016,schooner
1082,schooner
1235,schooner
56,ferry
99,ferry
236,ferry
245,ferry
304,ferry
315,ferry
685,ferry
968,ferry
1145,ferry
1364,ferry
57,flamingo
138,flamingo
240,flamingo
329,flamingo
446,flamingo
703,flamingo
1105,flamingo
1273,flamingo
1574,flamingo
1691,flamingo
58,hedgehog
352,hedgehog
723,hedgehog
971,hedgehog
1015,hedgehog
1051,hedgehog
1088,hedgehog
1137,hedgehog
1467,hedgehog
1521,hedgehog
60,pagoda
488,pagoda
696,pagoda
901,pagoda
913,pagoda
941,pagoda
1071,pagoda
1525,pagoda
2151,pagoda
2186,pagoda
64,saxophone
169,saxophone
651,saxophone
1328,saxophone
1388,saxophone
1488,saxophone
1554,saxophone
2024,saxophone
2335,saxophone
2584,saxophone
67,chandelier
148,chandelier
164,chandelier
186,chandelier
205,chandelier
212,chandelier
286,chandelier
327,chandelier
337,chandelier
497,chandelier
69,sea_horse
232,sea_horse
311,sea_horse
424,sea_horse
688,sea_horse
874,sea_horse
