id,class,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
795,BACKGROUND_Google,0,2,0,0,1,0,2,1,0,1,0,1,0,1,2,0,1,0,1,1,3,1,0,2,3,1,2,1,3,4,1,1,0,2,6,4,0,0,1,3,3,0,0,0,1,2,2,2,0,2,0,3,0,0,3,3,0,3,0,2,1,1,0,0,1,0,4,0,0,0,0,4,0,0,0,2,1,1,0,1
3842,BACKGROUND_Google,4,2,5,3,2,4,4,3,0,0,2,5,4,1,2,3,2,1,6,1,5,3,2,3,3,2,2,7,4,5,3,1,1,5,5,6,1,2,2,4,7,0,4,0,2,6,1,5,7,1,4,2,4,4,4,6,1,2,7,3,3,2,1,6,1,4,4,5,1,2,2,4,1,4,3,4,4,6,3,1
746,BACKGROUND_Google,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,1,1,3,0,1,5,2,5,4,2,5,2,5,7,2,4,3,5,4,3,2,2,5,4,3,5,3,6,6,4,4,4,6,6,3,3,1,7,4,2,1,5,4,5,5,3,4,5,4,4,2,2,6,3,3,0,0,2,0,0
1644,BACKGROUND_Google,0,0,1,1,0,2,1,1,5,2,2,5,2,3,3,3,5,2,3,4,1,3,3,1,0,3,3,1,0,1,3,4,3,2,4,5,4,3,2,4,5,3,5,6,3,5,2,5,5,6,4,3,2,7,6,5,2,5,2,5,4,6,2,4,3,2,6,4,4,5,2,7,3,4,3,4,5,5,5,1
6717,BACKGROUND_Google,2,5,2,0,2,2,7,4,3,1,1,7,0,5,2,2,7,3,1,2,5,3,2,5,3,4,2,6,2,4,3,4,7,4,4,6,3,3,6,1,2,6,2,1,3,3,5,5,4,4,1,4,6,6,4,6,3,4,5,1,0,2,0,0,0,4,4,1,3,2,2,5,5,3,3,4,6,4,2,1
398,BACKGROUND_Google,2,2,1,0,1,1,5,2,2,0,3,4,2,1,1,3,7,1,1,0,2,5,0,0,2,1,6,1,2,2,3,3,0,0,0,6,0,0,0,0,4,4,1,2,2,1,6,3,3,4,4,4,2,0,2,4,5,0,0,1,3,5,1,1,1,1,7,0,0,1,2,6,0,0,0,2,7,1,2,1
5211,BACKGROUND_Google,7,0,4,2,2,5,4,6,6,4,5,5,6,3,2,4,5,5,5,4,5,2,5,6,4,6,2,5,5,4,6,3,2,5,6,5,3,2,4,3,6,2,4,2,3,4,3,6,6,5,5,3,4,4,4,2,1,3,2,2,3,2,3,2,3,3,2,6,6,4,2,4,4,4,5,1,4,1,6,2
3752,BACKGROUND_Google,0,1,1,2,2,1,1,5,0,3,1,2,1,1,3,0,0,0,1,2,1,3,2,0,1,1,7,3,4,2,1,7,1,4,4,0,1,0,1,1,1,1,0,0,2,1,6,2,3,4,1,6,1,3,4,0,1,0,1,2,0,2,0,1,1,0,6,4,4,3,0,6,2,3,2,1,2,0,0,1
7881,BACKGROUND_Google,3,1,0,0,3,2,3,3,3,5,3,3,2,4,4,5,3,3,5,4,0,2,5,5,4,2,4,4,1,3,4,4,3,4,5,3,5,3,4,4,2,4,2,3,2,0,3,0,5,4,0,0,1,1,0,0,2,0,1,1,0,0,0,0,1,1,2,1,5,3,1,2,2,6,5,0,1,0,3,2
6689,BACKGROUND_Google,1,1,2,1,2,3,2,3,3,5,3,4,5,6,4,4,0,3,3,3,3,0,2,3,4,2,0,1,1,3,2,3,6,2,4,3,3,6,5,5,2,4,4,4,5,2,2,3,4,5,3,2,4,4,5,3,2,4,2,3,3,3,1,2,2,5,2,1,0,2,3,2,2,4,1,3,4,3,5,5
3733,BACKGROUND_Google,1,1,5,3,4,4,3,3,7,4,2,4,5,5,4,3,2,2,4,3,5,1,5,5,3,5,1,3,3,5,2,6,4,6,4,4,3,5,3,5,5,1,2,4,3,7,1,5,2,3,4,5,5,3,3,4,3,4,2,1,4,1,1,0,2,5,1,1,3,2,5,4,2,2,1,4,1,0,3,1
756,BACKGROUND_Google,1,1,2,2,3,0,3,0,0,3,0,4,0,2,3,1,1,2,4,4,3,0,0,1,5,1,2,5,1,4,2,2,0,4,6,5,1,1,2,3,1,1,3,4,3,2,1,0,4,5,3,2,2,0,4,1,1,2,0,5,0,2,2,2,3,1,4,2,3,3,0,2,2,0,3,0,6,0,1,2
3720,BACKGROUND_Google,2,6,6,1,0,0,6,5,0,0,0,4,3,0,1,3,2,3,2,3,3,1,0,0,1,0,3,7,2,3,1,3,7,2,5,3,0,2,0,1,3,1,2,1,1,0,0,1,0,1,2,0,2,2,1,3,0,0,0,0,3,2,0,0,0,0,5,2,0,1,1,5,3,1,2,3,2,0,0,0
6685,BACKGROUND_Google,4,4,5,4,4,3,4,5,5,4,3,3,5,5,5,3,5,3,4,4,5,1,4,6,7,5,2,4,6,5,4,2,4,6,4,4,3,6,5,5,4,1,5,6,6,2,3,7,6,4,4,3,4,6,6,3,3,4,5,6,5,1,5,5,5,5,1,5,5,5,1,2,4,5,6,3,3,7,4,4
3708,BACKGROUND_Google,2,0,2,0,2,3,2,1,2,3,0,0,0,1,1,0,0,0,0,0,2,4,2,2,4,4,5,1,4,2,5,4,3,4,1,2,3,0,3,3,2,1,2,2,3,2,4,3,2,2,2,2,1,1,2,3,1,2,0,1,0,0,0,0,0,2,4,2,1,1,2,2,1,1,3,1,4,1,1,2
7912,BACKGROUND_Google,5,1,2,3,3,4,2,2,3,5,3,2,1,3,4,6,2,2,2,4,5,1,4,2,4,3,3,3,2,4,4,2,2,3,5,6,1,2,2,4,5,1,2,3,4,5,2,4,0,4,5,3,3,3,4,6,2,1,1,5,6,1,1,2,4,5,2,3,3,4,6,1,4,4,4,5,1,3,1,5
1220,BACKGROUND_Google,2,4,4,0,1,4,2,0,2,4,6,2,2,2,3,6,3,5,3,1,3,5,4,2,3,2,5,6,2,5,4,2,6,4,4,3,3,2,6,6,4,2,4,2,2,2,4,4,4,3,3,2,3,4,6,3,2,5,3,6,2,5,2,1,2,2,5,0,2,1,1,2,0,0,3,0,3,2,4,3
7919,BACKGROUND_Google,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,6,5,1,1,0,0,1,2,3,4,2,4,0,0,0,0,0,1,3,6,6,6,0,5,1,0,2,0,3,4,0,3,0,0,0,0,1,1,3,6,7,6,1,4,5,6,6,0,1,3,3,2,0,1,0,0,0
6666,BACKGROUND_Google,3,1,2,0,1,5,1,3,2,3,3,2,3,1,3,0,1,0,0,2,0,0,0,0,0,2,3,2,2,3,4,3,5,6,4,3,0,2,6,4,0,0,0,0,0,1,2,0,0,0,5,1,7,3,2,6,1,2,2,2,0,0,0,0,0,0,4,0,2,3,1,3,2,2,0,0,0,2,1,0
1684,BACKGROUND_Google,0,0,0,0,0,2,0,1,3,3,0,0,5,2,3,0,0,1,0,1,0,2,2,0,2,3,3,6,2,5,4,4,5,4,5,0,1,3,1,2,2,0,1,0,1,1,2,6,6,4,2,1,1,4,4,4,2,4,7,3,0,0,0,0,1,2,1,5,4,4,2,1,2,3,1,2,2,1,6,6
3669,BACKGROUND_Google,3,1,0,1,2,4,4,1,1,2,3,4,0,2,3,2,4,0,1,2,5,2,1,2,5,5,2,2,3,5,4,4,1,3,3,3,5,2,2,3,5,0,2,4,6,5,1,2,2,5,4,2,1,0,4,4,3,5,2,5,2,4,3,3,3,3,2,2,1,4,4,1,2,0,5,2,4,3,3,4
6656,BACKGROUND_Google,1,1,2,0,0,1,0,2,5,3,3,0,4,7,3,3,1,6,6,6,3,1,3,5,1,1,0,2,4,2,2,1,4,6,3,1,2,3,3,7,3,0,1,3,1,2,2,1,6,2,4,1,4,5,3,1,1,2,5,7,1,1,0,1,0,3,1,3,4,1,3,1,3,1,1,0,1,0,2,1
3638,BACKGROUND_Google,0,0,0,0,0,3,0,4,0,2,3,0,0,3,1,0,0,0,0,0,1,3,1,3,3,4,2,1,5,3,4,2,3,2,3,1,2,6,2,2,0,0,4,4,3,5,1,5,6,5,4,1,5,6,5,0,0,4,6,2,1,2,2,1,3,4,2,4,0,3,4,3,1,4,2,1,3,0,2,2
3636,BACKGROUND_Google,2,3,3,2,5,1,1,0,0,3,2,1,6,0,2,0,0,0,0,0,1,2,2,2,3,4,0,6,4,6,1,3,3,1,5,0,1,4,0,2,2,0,0,1,2,3,1,3,2,5,3,3,6,2,5,1,2,3,0,2,0,0,0,0,0,2,2,2,2,5,4,2,3,4,4,2,3,2,3,3
7948,BACKGROUND_Google,3,2,3,1,5,0,6,2,3,6,1,6,2,1,5,1,4,4,4,4,2,3,4,4,2,0,5,6,3,6,1,4,5,4,6,2,6,3,4,5,2,1,2,1,4,2,4,3,4,6,1,5,4,4,6,2,5,3,5,5,2,3,1,3,2,1,6,5,3,5,0,6,2,3,4,3,6,4,3,4
